surveycode,factor,varname,label,qraw,demographic,in_loop,in_report
tch-hs,sum_eng,ts_expbest,How much do your teacher's expectations make you want to do your best?,,,1,1
tch-hs,sum_eng,ts_pride,How much pride do you take in your class work?,,,1,1
tch-hs,sum_eng,ts_trybest,How much do you try to do your best in this class?,,,1,1
tch-hs,sum_eng,ts_enjoy,How often do you enjoy coming to this class?,,,1,1
tch-hs,sum_expec,ts_teachassign,How well do your teacher's assignments help you better understand the subject?,,,1,1
tch-hs,sum_expec,ts_learnlot,"In this class, how much do you learn every day?",,,1,1
tch-hs,sum_expec,ts_think,How much does the work that you do for your class make you really think?,,,1,1
tch-hs,sum_expec,ts_teachundr,How well does your teacher understand the subject that (s)he is teaching?,,,1,1
tch-hs,sum_expec,ts_fulleffort,How much effort does your teacher expect you to give in class?,,,1,1
tch-hs,sum_expec,ts_nomem,"How much does your teacher want you to use your thinking skills, not just memorize things?",,,1,1
tch-hs,sum_expec,ts_nogiveup,"When the work gets difficult, how hard does your teacher expect you to try?",,,1,1
tch-hs,sum_rele,ts_under,How much does your teacher try to understand what your life is like outside of school?,,,1,1
tch-hs,sum_rele,ts_feelcare,How much do you think your teacher cares about you?,,,1,1
tch-hs,sum_rele,ts_helpout,How much does what you learn in this class help you outside of school?,,,1,1
tch-hs,sum_rele,ts_connect,How well does your teacher connect what you're learning in class with your life outside of school?,,,1,1
tch-hs,sum_met,ts_askexpl,How often does your teacher ask students to explain more about answers they give?,,,1,1
tch-hs,sum_met,ts_explain,How often does your teacher want you to explain your answers - why you think what you think?,,,1,1
tch-hs,sum_met,ts_askqns,How often does your teacher ask questions to be sure that you and your classmates are following along when (s)he is teaching?,,,1,1
tch-hs,sum_met,ts_tryexp,"If someone doesn't understand something, how often does your teacher explain it another way?",,,1,1
tch-hs,sum_met,ts_correct,"In this class, how much have you learned to correct your mistakes?",,,1,1
tch-hs,sum_rel,ts_fair,How fair is your teacher?,,,1,1
tch-hs,sum_rel,ts_adultresp,How respectful is your teacher to students in this class?,,,1,1
tch-hs,sum_rel,ts_believe,How much does your teacher believe that you can get a good grade if you try?,,,1,1
